,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
322,933517,tt0963177,movie,Made in Romania,,0,2010,95,Comedy
324,934279,tt0963966,movie,The Sorcerer's Apprentice,,0,2010,109,"Action,Adventure,Family"
326,934839,tt0964544,movie,Pushin' Up Daisies,,0,2010,87,Comedy
330,935685,tt0965429,movie,L'imbroglio nel lenzuolo,,0,2010,105,"Comedy,Romance"
331,938423,tt0968264,movie,The Conspirator,,0,2010,122,"Crime,Drama,History"
332,939453,tt0969332,movie,Little Witch on a Broomstick,,0,2011,90,"Animation,Comedy,Family"
333,939766,tt0969653,movie,White Wall,,0,2010,91,"Action,Mystery,Sci-Fi"
334,940275,tt0970179,movie,Hugo,,0,2011,126,"Drama,Family,Fantasy"
335,940930,tt0970866,movie,Little Fockers,,0,2010,98,"Comedy,Romance"
336,940988,tt0970926,movie,The Chosen One,,0,2010,101,"Comedy,Drama"
337,941016,tt0970955,movie,The Reason,,0,2010,70,"Drama,Fantasy,History"
340,942862,tt0972848,movie,Lives and Deaths of the Poets,,0,2011,93,Comedy
341,943786,tt0973809,movie,Headhunter: The Assessment Weekend,,0,2010,93,"Action,Thriller"
342,944509,tt0974584,movie,Black Limousine,,0,2010,102,Drama
343,945581,tt0975738,movie,Sinatra Club,,0,2010,88,"Action,Biography,Crime"
344,947429,tt0977639,movie,Boyle Heights,,0,2010,101,Action
345,947635,tt0977855,movie,Fair Game,,0,2010,108,"Biography,Drama,Thriller"
347,948524,tt0978764,movie,Sucker Punch,,0,2011,110,"Action,Adventure,Fantasy"
354,949161,tt0979434,movie,Lottery Ticket,,0,2010,99,Comedy
355,950658,tt0980970,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,,0,2010,113,"Adventure,Family,Fantasy"
356,950698,tt0981013,movie,Heredity,,0,2010,\N,"Horror,Thriller"
357,950961,tt0981286,movie,Funkytown,,0,2011,132,"Drama,Music"
360,952829,tt0983193,movie,The Adventures of Tintin,,0,2011,107,"Action,Adventure,Animation"
361,953675,tt0984084,movie,El Padrino II: Border Intrusion,,0,2011,90,Crime
362,953703,tt0984113,movie,A Dance for Grace,,0,2010,\N,Drama
363,953797,tt0984210,movie,Multiple Sarcasms,,0,2010,97,Drama
365,955244,tt0985694,movie,Machete,,0,2010,105,"Action,Crime,Thriller"
